file_name,Paper Name,Model,Top-1 Accuracy,,comments,Gted
2411.15241v1.pdf,EfficientViM: Efficient Vision Mamba with Hidden State Mixer based State Space Duality,,0,,,
2411.14402v1.pdf,Multimodal Autoregressive Pre-training of Large Vision Encoders,,0,,,
2411.09101v1.pdf,Heuristical Comparison of Vision Transformers Against Convolutional Neural Networks for Semantic Segmentation on Remote Sensing Imagery,,0,,,
2411.06786v1.pdf,ScaleKD: Strong Vision Transformers Could Be Excellent Teachers,,0,,,
2411.06353v2.pdf,Deep Active Learning in the Open World,,0,,,
2411.05698v1.pdf,Visual-TCAV: Concept-based Attribution and Saliency Maps for Post-hoc Explainability in Image Classification,,0,,,
2411.04533v1.pdf,Neural Fingerprints for Adversarial Attack Detection,,0,,,
2410.18267v2.pdf,Backdoor in Seconds: Unlocking Vulnerabilities in Large Pre-trained Models via Model Editing,,0,,,
2410.14470v1.pdf,How Do Training Methods Influence the Utilization of Vision Models?,,0,,,
2410.13421v1.pdf,Performance of Gaussian Mixture Model Classifiers on Embedded Feature Spaces,,0,,,
2410.10773v1.pdf,Enhancing JEPAs with Spatial Conditioning: Robust and Efficient Representation Learning,,0,,,
2410.10267v1.pdf,big.LITTLE Vision Transformer for Efficient Visual Recognition,,0,,,
2410.10160v1.pdf,Will the Inclusion of Generated Data Amplify Bias Across Generations in Future Image Classification Models?,,0,,,
2410.08582v1.pdf,DeBiFormer: Vision Transformer with Deformable Agent Bi-level Routing Attention,,0,,,
2410.08407v2.pdf,What is Left After Distillation? How Knowledge Transfer Impacts Fairness and Bias,,0,,,
2410.07081v1.pdf,JPEG Inspired Deep Learning,,0,,,
2410.07014v1.pdf,Optimizing Estimators of Squared Calibration Errors in Classification,,0,,,
2410.05800v1.pdf,Core Tokensets for Data-efficient Sequential Training of Transformers,,0,,,
2410.06296v1.pdf,Conformal Structured Prediction,,0,,,
2410.05249v5.pdf,LoTLIP: Improving Language-Image Pre-training for Long Text Understanding,,0,,,
2410.02401v5.pdf,SynCo: Synthetic Hard Negatives in Contrastive Learning for Better Unsupervised Visual Representations,,0,,,
2410.02387v4.pdf,BiSSL: Enhancing the Alignment Between Self-Supervised Pretraining and Downstream Fine-Tuning via Bilevel Optimization,,0,,,
2409.19850v1.pdf,SATA: Spatial Autocorrelation Token Analysis for Enhancing the Robustness of Vision Transformers,,0,,,
2409.20237v1.pdf,Classroom-Inspired Multi-Mentor Distillation with Adaptive Learning Strategies,,0,,,
2409.19660v1.pdf,All-in-One Image Coding for Joint Human-Machine Vision with Multi-Path Aggregation,,0,,,
2409.19291v2.pdf,CLIP-MoE: Towards Building Mixture of Experts for CLIP with Diversified Multiplet Upcycling,,0,,,
2409.17092v1.pdf,Accumulator-Aware Post-Training Quantization,,0,,,
2409.16630v1.pdf,Stochastic Subsampling With Average Pooling,,0,,,
2409.17093v1.pdf,BitQ: Tailoring Block Floating Point Precision for Improved DNN Efficiency on Resource-Constrained Devices,,0,,,
2409.16897v2.pdf,HVT: A Comprehensive Vision Framework for Learning in Non-Euclidean Space,,0,,,
2409.12878v1.pdf,Impact of ML Optimization Tactics on Greener Pre-Trained ML Models,,0,,,
2409.11923v1.pdf,Agglomerative Token Clustering,,0,,,
2409.11867v2.pdf,StableMamba: Distillation-free Scaling of Large SSMs for Images and Videos,,0,,,
2409.10362v3.pdf,Frequency-Guided Masking for Enhanced Vision Self-Supervised Learning,,0,,,
2409.10594v1.pdf,Kolmogorov-Arnold Transformer,,0,,,
2409.10775v1.pdf,Are Deep Learning Models Robust to Partial Object Occlusion in Visual Recognition Tasks?,,0,,,
2409.09649v2.pdf,SparX: A Sparse Cross-Layer Connection Mechanism for Hierarchical Vision Mamba and Transformer Networks,,0,,,
2409.07613v3.pdf,Token Turing Machines are Efficient Vision Models,,0,,,
2409.05202v1.pdf,A Survey on Mixup Augmentations and Beyond,,0,,,
2409.01672v2.pdf,Enhancing Fine-Grained Visual Recognition in the Low-Data Regime Through Feature Magnitude Regularization,,0,,,
2408.17064v2.pdf,Instant Adversarial Purification with Adversarial Consistency Distillation,,0,,,
2408.17197v1.pdf,Covariance-corrected Whitening Alleviates Network Degeneration on Imbalanced Classification,,0,,,
2408.17081v1.pdf,Stochastic Layer-Wise Shuffle: A Good Practice to Improve Vision Mamba Training,,0,,,
2408.15231v2.pdf,DCT-CryptoNets: Scaling Private Inference in the Frequency Domain,,0,,,
2408.12808v1.pdf,VALE: A Multimodal Visual and Language Explanation Framework for Image Classifiers using eXplainable AI and Language Models,,0,,,
2408.12561v2.pdf,ssProp: Energy-Efficient Training for Convolutional Neural Networks with Scheduled Sparse Back Propagation,,0,,,
2408.11449v2.pdf,Enabling Small Models for Zero-Shot Selection and Reuse through Model Label Learning,,0,,,
2408.11598v1.pdf,"Improving Calibration by Relating Focal Loss, Temperature Scaling, and Properness",,0,,,
2408.08855v2.pdf,DPA: Dual Prototypes Alignment for Unsupervised Adaptation of Vision-Language Models,,0,,,
2408.08345v2.pdf,5%>100%: Breaking Performance Shackles of Full Fine-Tuning on Visual Recognition Tasks,,0,,,
2408.08295v1.pdf,SLCA++: Unleash the Power of Sequential Fine-tuning for Continual Learning with Pre-training,,0,,,
2408.08432v1.pdf,Predictive uncertainty estimation in deep learning for lung carcinoma classification in digital pathology under real dataset shifts,,0,,,
2408.06258v2.pdf,Targeted Deep Learning System Boundary Testing,,0,,,
2408.03703v2.pdf,CAS-ViT: Convolutional Additive Self-attention Vision Transformers for Efficient Mobile Applications,,0,,,
2408.02426v2.pdf,Boosting Memory Efficiency in Transfer Learning for High-Resolution Medical Image Classification,,0,,,
2408.01167v4.pdf,Rethinking Pre-Trained Feature Extractor Selection in Multiple Instance Learning for Whole Slide Image Classification,,0,,,
2408.00129v1.pdf,Vera Verto: Multimodal Hijacking Attack,,0,,,
2408.07832v8.pdf,LADDER: Language Driven Slice Discovery and Error Rectification,,0,,,
2407.18559v2.pdf,VSSD: Vision Mamba with Non-Causal State Space Duality,,0,,,
2407.17689v1.pdf,SAM-MIL: A Spatial Contextual Aware Multiple Instance Learning Approach for Whole Slide Image Classification,,0,,,
2407.16944v4.pdf,Adaptive Gradient Regularization: A Faster and Generalizable Optimization Technique for Deep Neural Networks,,0,,,
2407.17671v2.pdf,Unsqueeze [CLS] Bottleneck to Learn Rich Representations,,0,,,
2407.16145v1.pdf,Improved Few-Shot Image Classification Through Multiple-Choice Questions,,0,,,
2407.14831v1.pdf,Toward Efficient Convolutional Neural Networks With Structured Ternary Patterns,,0,,,
2407.13772v2.pdf,GroupMamba: Efficient Group-Based Visual State Space Model,,0,,,
2407.12753v1.pdf,LookupViT: Compressing visual information to a limited number of tokens,,0,,,
2407.13036v1.pdf,ColorMAE: Exploring data-independent masking strategies in Masked AutoEncoders,,0,,,
2407.11211v4.pdf,Unconstrained Open Vocabulary Image Classification: Zero-Shot Transfer from Text to Image via CLIP Inversion,,0,,,
2407.10052v2.pdf,Augmented Neural Fine-Tuning for Efficient Backdoor Purification,,0,,,
2407.08083v2.pdf,MambaVision: A Hybrid Mamba-Transformer Vision Backbone,,0,,,
2407.07516v2.pdf,HDKD: Hybrid Data-Efficient Knowledge Distillation Network for Medical Image Classification,,0,,,
2407.05848v2.pdf,Wavelet Convolutions for Large Receptive Fields,,0,,,
2407.04603v2.pdf,"AWT: Transferring Vision-Language Models via Augmentation, Weighting, and Transportation",,0,,,
2407.02881v1.pdf,ShiftAddAug: Augment Multiplication-Free Tiny Neural Network with Hybrid Computation,,0,,,
2407.01092v1.pdf,Kolmogorov-Arnold Convolutions: Design Principles and Empirical Studies,,0,,,
2407.00115v3.pdf,Instance Temperature Knowledge Distillation,,0,,,
2406.18051v1.pdf,ViT-1.58b: Mobile Vision Transformers in the 1-bit Era,,0,,,
2406.17438v1.pdf,Implicit-Zoo: A Large-Scale Dataset of Neural Implicit Functions for 2D Images and 3D Scenes,,0,,,
2406.16453v2.pdf,Learning in Wilson-Cowan model for metapopulation,,0,,,
2406.16540v3.pdf,Improving robustness to corruptions with multiplicative weight perturbations,,0,,,
2406.17117v2.pdf,Speeding Up Image Classifiers with Little Companions,,0,,,
2406.15982v1.pdf,Learning with Noisy Ground Truth: From 2D Classification to 3D Reconstruction,,0,,,
2406.12368v2.pdf,MixDiff: Mixing Natural and Synthetic Images for Robust Self-Supervised Representations,,0,,,
2406.11837v1.pdf,"Scaling the Codebook Size of VQGAN to 100,000 with a Utilization Rate of 99%",,0,,,
2406.11309v2.pdf,BaFTA: Backprop-Free Test-Time Adaptation For Zero-Shot Vision-Language Models,,0,,,
2406.10322v2.pdf,LieRE: Generalizing Rotary Position Encodings,,0,,,
2406.10427v2.pdf,Adaptive Randomized Smoothing: Certified Adversarial Robustness for Multi-Step Defences,,0,,,
2406.09250v2.pdf,MirrorCheck: Efficient Adversarial Defense for Vision-Language Models,,0,,,
2406.09112v1.pdf,Large-Scale Evaluation of Open-Set Image Classification Techniques,,0,,,
2406.08773v4.pdf,DenoiseRep: Denoising Model for Representation Learning,,0,,,
2406.12915v5.pdf,How Out-of-Distribution Detection Learning Theory Enhances Transformer: Learnability and Reliability,,0,,,
2406.08443v1.pdf,Transformation-Dependent Adversarial Attacks,,0,,,
2406.05612v2.pdf,Which Backbone to Use: A Resource-efficient Domain Specific Comparison for Computer Vision,,0,,,
2406.05068v1.pdf,Classification Metrics for Image Explanations: Towards Building Reliable XAI-Evaluations,,0,,,
2406.04330v2.pdf,Parameter-Inverted Image Pyramid Networks,,0,,,
2406.03146v1.pdf,Tiny models from tiny data: Textual and null-text inversion for few-shot distillation,,0,,,
2406.02395v1.pdf,GrootVL: Tree Topology is All You Need in State Space Model,,0,,,
2405.21022v1.pdf,You Only Scan Once: Efficient Multi-dimension Sequential Modeling with LightNet,,0,,,
2405.20763v4.pdf,Improving Generalization and Convergence by Enhancing Implicit Regularization,,0,,,
2405.18415v2.pdf,Why are Visually-Grounded Language Models Bad at Image Classification?,,0,,,
2405.18144v3.pdf,4-bit Shampoo for Memory-Efficient Network Training,,0,,,
2405.18240v1.pdf,MSPE: Multi-Scale Patch Embedding Prompts Vision Transformers to Any Resolution,,0,,,
2405.16134v2.pdf,Breaking the False Sense of Security in Backdoor Defense through Re-Activation Attack,,0,,,
2405.15661v2.pdf,Exposing Image Classifier Shortcuts with Counterfactual Frequency (CoF) Tables,,0,,,
2405.15668v4.pdf,What Do You See? Enhancing Zero-Shot Image Classification with Multimodal Large Language Models,,0,,,
2405.14480v2.pdf,Scalable Visual State Space Model with Fractal Scanning,,0,,,
2405.17461v2.pdf,EMR-Merging: Tuning-Free High-Performance Model Merging,,0,,,
2405.13268v2.pdf,Stochastic Online Conformal Prediction with Semi-Bandit Feedback,,0,,,
2405.11551v1.pdf,An Invisible Backdoor Attack Based On Semantic Feature,,0,,,
2405.11582v2.pdf,SLAB: Efficient Transformers with Simplified Linear Attention and Progressive Re-parameterized Batch Normalization,,0,,,
2405.11067v3.pdf,Bayesian Learning-driven Prototypical Contrastive Loss for Class-Incremental Learning,,0,,,
2405.10004v2.pdf,"ROCOv2: Radiology Objects in COntext Version 2, an Updated Multimodal Image Dataset",,0,,,
2405.09514v1.pdf,Tackling Distribution Shifts in Task-Oriented Communication with Information Bottleneck,,0,,,
2405.09014v1.pdf,"Feature-based Federated Transfer Learning: Communication Efficiency, Robustness and Privacy",,0,,,
2405.07992v3.pdf,MambaOut: Do We Really Need Mamba for Vision?,,0,,,
2405.07411v1.pdf,MoVL:Exploring Fusion Strategies for the Domain-Adaptive Application of Pretrained Models in Medical Imaging Tasks,,0,,,
2405.07194v1.pdf,Differentiable Model Scaling using Differentiable Topk,,0,,,
2405.06814v3.pdf,Dual-Task Vision Transformer for Rapid and Accurate Intracerebral Hemorrhage CT Image Classification,,0,,,
2405.05742v1.pdf,How Quality Affects Deep Neural Networks in Fine-Grained Image Classification,,0,,,
2405.04825v2.pdf,Explanation as a Watermark: Towards Harmless and Multi-bit Model Ownership Verification via Watermarking Feature Attribution,,0,,,
2405.01175v1.pdf,Uncertainty-aware self-training with expectation maximization basis transformation,,0,,,
2404.16331v2.pdf,IMWA: Iterative Model Weight Averaging Benefits Class-Imbalanced Learning Tasks,,0,,,
2404.16030v1.pdf,MoDE: CLIP Data Experts via Clustering,,0,,,
2404.15704v1.pdf,Efficient Multi-Model Fusion with Adversarial Complementary Representation Learning,,0,,,
2404.14109v1.pdf,CKD: Contrastive Knowledge Distillation from A Sample-wise Perspective,,0,,,
2404.11249v1.pdf,A Progressive Framework of Vision-language Knowledge Distillation and Alignment for Multilingual Scene,,0,,,
2404.11202v2.pdf,GhostNetV3: Exploring the Training Strategies for Compact Models,,0,,,
2404.11003v3.pdf,InfoMatch: Entropy Neural Estimation for Semi-Supervised Image Classification,,0,,,
2404.10518v2.pdf,MobileNetV4 -- Universal Models for the Mobile Ecosystem,,87,Started,,
2404.10864v1.pdf,Vocabulary-free Image Classification and Semantic Segmentation,,NA,tunning,,
2404.09828v2.pdf,Interaction as Explanation: A User Interaction-based Method for Explaining Image Classification Models,,0,,,
2404.08981v2.pdf,Fast Fishing: Approximating BAIT for Efficient and Scalable Deep Active Image Classification,,0,,,
2404.07410v2.pdf,Improving Shift Invariance in Convolutional Neural Networks with Translation Invariant Polyphase Sampling,,0,,,
2404.07507v1.pdf,Learning to Classify New Foods Incrementally Via Compressed Exemplars,,0,,,
2404.08010v2.pdf,Differentiable Search for Finding Optimal Quantization Strategy,,0,,,
2404.06287v2.pdf,Counterfactual Reasoning for Multi-Label Image Classification via Patching-Based Training,,0,,,
2404.06549v2.pdf,Variational Stochastic Gradient Descent for Deep Neural Networks,,0,,,
2404.05207v1.pdf,iVPT: Improving Task-relevant Information Sharing in Visual Prompt Tuning by Cross-layer Dynamic Connection,,0,,,
2404.04072v1.pdf,Label Propagation for Zero-shot Classification with Vision-Language Models,,0,,,
2404.04245v1.pdf,"Evaluating Adversarial Robustness: A Comparison Of FGSM, Carlini-Wagner Attacks, And The Role of Distillation as Defense Mechanism",,0,,,
2404.03323v1.pdf,Sparse Concept Bottleneck Models: Gumbel Tricks in Contrastive Learning,,0,,,
2404.01775v1.pdf,A noisy elephant in the room: Is your out-of-distribution detector robust to label noise?,,0,,,
2404.02233v2.pdf,Visual Concept Connectome (VCC): Open World Concept Discovery and their Interlayer Connections in Deep Models,,0,,,
2404.02112v1.pdf,ImageNot: A contrast with ImageNet preserves model rankings,,0,,,
2404.01964v2.pdf,CAM-Based Methods Can See through Walls,,0,,,
2404.02282v3.pdf,Smooth Deep Saliency,,0,,,
2404.01509v1.pdf,Can Biases in ImageNet Models Explain Generalization?,,0,,,
2404.00974v1.pdf,Improving Visual Recognition with Hyperbolical Visual Hierarchy Mapping,,0,,,
2404.00928v1.pdf,Instance-Aware Group Quantization for Vision Transformers,,0,,,
2403.19888v4.pdf,MambaMixer: Efficient Selective State Space Models with Dual Token and Channel Selection,,0,,,
2403.19067v1.pdf,Low-Rank Rescaled Vision Transformer Fine-Tuning: A Residual Design Approach,,0,,,
2403.19588v2.pdf,DenseNets Reloaded: Paradigm Shift Beyond ResNets and ViTs,,0,,,
2403.19579v1.pdf,The Bad Batches: Enhancing Self-Supervised Learning in Image Classification Through Representative Batch Curation,,0,,,
2403.18294v1.pdf,Multi-scale Unified Network for Image Classification,,0,,,
2403.17726v4.pdf,Tiny Models are the Computational Saver for Large Models,,0,,,
2403.17695v2.pdf,PlainMamba: Improving Non-Hierarchical Mamba in Visual Recognition,,0,,,
2403.17921v1.pdf,The Need for Speed: Pruning Transformers with One Recipe,,0,,,
2403.17173v2.pdf,Task2Box: Box Embeddings for Modeling Asymmetric Task Relationships,,0,,,
2403.13293v1.pdf,Building Optimal Neural Architectures using Interpretable Knowledge,,0,,,
2403.13797v3.pdf,Bridge the Modality and Capability Gaps in Vision-Language Model Selection,,0,,,
2403.13430v2.pdf,MTP: Advancing Remote Sensing Foundation Model via Multi-Task Pretraining,,0,,,
2403.13171v2.pdf,LUWA Dataset: Learning Lithic Use-Wear Analysis on Microscopic Images,,0,,,
2403.12688v1.pdf,SEVEN: Pruning Transformer Model by Reserving Sentinels,,0,,,
2403.12952v2.pdf,Just Shift It: Test-Time Prototype Shifting for Zero-Shot Generalization with Vision-Language Models,,0,,,
2403.11530v2.pdf,Continual Forgetting for Pre-trained Vision Models,,0,,,
2403.11491v1.pdf,Uncertainty-Calibrated Test-Time Model Adaptation without Forgetting,,0,,,
2403.10030v3.pdf,Multi-criteria Token Fusion with One-step-ahead Attention for Efficient Vision Transformers,,0,,,
2403.09948v3.pdf,RadCLIP: Enhancing Radiologic Image Analysis through Contrastive Language-Image Pre-training,,0,,,
2403.08157v1.pdf,Multiscale Low-Frequency Memory Network for Improved Feature Extraction in Convolutional Neural Networks,,0,,,
2403.07356v1.pdf,Premonition: Using Generative Models to Preempt Future Data Changes in Continual Learning,,0,,,
2403.06288v1.pdf,Probing Image Compression For Class-Incremental Learning,,0,,,
2403.05894v1.pdf,Frequency Attention for Knowledge Distillation,,0,,,
2403.03849v5.pdf,MedMamba: Vision Mamba for Medical Image Classification,,0,,,
2403.01944v2.pdf,Fourier-basis Functions to Bridge Augmentation Gap: Rethinking Frequency Augmentation in Image Classification,,0,,,
2403.02308v3.pdf,Vision-RWKV: Efficient and Scalable Visual Perception with RWKV-Like Architectures,,0,,,
2403.00543v1.pdf,SURE: SUrvey REcipes for building reliable and robust deep networks,,0,,,
2403.00522v2.pdf,VisionLLaMA: A Unified LLaMA Backbone for Vision Tasks,,0,,,
2402.19305v2.pdf,HyenaPixel: Global Image Context with Convolutions,,0,,,
2402.18133v2.pdf,Classes Are Not Equal: An Empirical Study on Image Recognition Fairness,,0,,,
2402.18614v1.pdf,Deep Neural Network Models Trained With A Fixed Random Classifier Transfer Better Across Domains,,0,,,
2402.17318v1.pdf,Scaling Supervised Local Learning with Augmented Auxiliary Networks,,0,,,
2402.16370v1.pdf,DEYO: DETR with YOLO for End-to-End Object Detection,,0,,,
2402.16090v1.pdf,Key Design Choices in Source-Free Unsupervised Domain Adaptation: An In-depth Empirical Analysis,,0,,,
2402.15490v2.pdf,"A Comprehensive Survey of Convolutions in Deep Learning: Applications, Challenges, and Future Trends",,0,,,
2402.14937v1.pdf,SoK: Analyzing Adversarial Examples: A Framework to Study Adversary Knowledge,,0,,,
2402.12525v1.pdf,LangXAI: Integrating Large Vision Models for Generating Textual Explanations to Enhance Explainability in Visual Perception Tasks,,0,,,
2402.11301v2.pdf,ReViT: Enhancing Vision Transformers Feature Diversity with Attention Residual Connections,,0,,,
stamp.jsp?tp=&arnumber=10438214,Distilled Gradual Pruning with Pruned Fine-tuning,,0,,,
2402.09816v1.pdf,Mind the Modality Gap: Towards a Remote Sensing Vision-Language Model via Cross-modal Alignment,,0,,,
2402.10063v1.pdf,Balancing the Causal Effects in Class-Incremental Learning,,0,,,
2402.10046v2.pdf,How Flawed Is ECE? An Analysis via Logit Smoothing,,0,,,
2402.09059v1.pdf,I can't see it but I can Fine-tune it: On Encrypted Fine-tuning of Transformers using Fully Homomorphic Encryption,,0,,,
2402.09316v1.pdf,Only My Model On My Data: A Privacy Preserving Approach Protecting one Model and Deceiving Unauthorized Black-Box Models,,0,,,
2402.09240v2.pdf,Switch EMA: A Free Lunch for Better Flatness and Sharpness,,0,,,
2402.07595v2.pdf,Comparative Analysis of ImageNet Pre-Trained Deep Learning Models and DINOv2 in Medical Imaging Classification,,0,,,
2402.06537v2.pdf,Feature Density Estimation for Out-of-Distribution Detection via Normalizing Flows,,0,,,
2402.06249v1.pdf,Anomaly Unveiled: Securing Image Classification against Adversarial Patch Attacks,,0,,,
2402.06580v2.pdf,SAE: Single Architecture Ensemble Neural Networks,,0,,,
2402.05391v4.pdf,Knowledge Graphs Meet Multi-Modal Learning: A Comprehensive Survey,,0,,,
2402.04252v1.pdf,EVA-CLIP-18B: Scaling CLIP to 18 Billion Parameters,,0,,,
2402.02554v2.pdf,DeSparsify: Adversarial Attack Against Token Sparsification Mechanisms in Vision Transformers,,0,,,
2402.02094v1.pdf,Deep Semantic-Visual Alignment for Zero-Shot Remote Sensing Image Scene Classification,,0,,,
2402.02103v2.pdf,Déjà Vu Memorization in Vision-Language Models,,0,,,
2402.01169v1.pdf,Faster Inference of Integer SWIN Transformer by Removing the GELU Activation,,0,,,
